Region,County,FIPS,State
6,ROBERTSON,48395,Texas
3,ROCKWALL,48397,Texas
2,RUNNELS,48399,Texas
4,RUSK,48401,Texas
5,SABINE,48403,Texas
5,SAN AUGUSTINE,48405,Texas
5,SAN JACINTO,48407,Texas
11,SAN PATRICIO,48409,Texas
7,SAN SABA,48411,Texas
9,SCHLEICHER,48413,Texas
2,SCURRY,48415,Texas
2,SHACKELFORD,48417,Texas
5,SHELBY,48419,Texas
1,SHERMAN,48421,Texas
4,SMITH,48423,Texas
3,SOMERVELL,48425,Texas
11,STARR,48427,Texas
2,STEPHENS,48429,Texas
9,STERLING,48431,Texas
2,STONEWALL,48433,Texas
9,SUTTON,48435,Texas
1,SWISHER,48437,Texas
3,TARRANT,48439,Texas
2,TAYLOR,48441,Texas
9,TERRELL,48443,Texas
1,TERRY,48445,Texas
2,THROCKMORTON,48447,Texas
4,TITUS,48449,Texas
9,TOM GREEN,48451,Texas
7,TRAVIS,48453,Texas
5,TRINITY,48455,Texas
5,TYLER,48457,Texas
4,UPSHUR,48459,Texas
9,UPTON,48461,Texas
8,UVALDE,48463,Texas
8,VAL VERDE,48465,Texas
4,VAN ZANDT,48467,Texas
8,VICTORIA,48469,Texas
6,WALKER,48471,Texas
6,WALLER,48473,Texas
9,WARD,48475,Texas
7,WASHINGTON,48477,Texas
11,WEBB,48479,Texas
6,WHARTON,48481,Texas
1,WHEELER,48483,Texas
2,WICHITA,48485,Texas
2,WILBARGER,48487,Texas
11,WILLACY,48489,Texas
7,WILLIAMSON,48491,Texas
8,WILSON,48493,Texas
9,WINKLER,48495,Texas
3,WISE,48497,Texas
4,WOOD,48499,Texas
1,YOAKUM,48501,Texas
2,YOUNG,48503,Texas
11,ZAPATA,48505,Texas
8,ZAVALA,48507,Texas
1,King,48269,Texas
